timestamp,flow_in_m3h,flow_out_m3h,temp_in_c,temp_out_c,pressure_in_bar,pressure_out_bar,p_in_mgL,p_out_mgL,n_in_mgL,n_out_mgL,water_treated_m3_cum,n_removed_kg_cum,p_removed_kg_cum,electricity_kwh_cum,co2_kg_cum
2026-06-01T00:00:00,8.179,7.814,20.34,21.05,1.132,1.079,0.4035,0.3986,6.924,5.854,7.8,0.008,0.0000,0.2,0.1
2026-06-01T01:00:00,8.543,8.292,21.18,22.22,1.153,1.095,0.4553,0.3877,6.513,6.121,16.1,0.012,0.0006,0.3,0.1
2026-06-01T02:00:00,7.944,7.814,19.89,20.43,1.135,1.079,0.3900,0.3936,7.106,6.027,23.9,0.020,0.0006,0.5,0.2
2026-06-01T03:00:00,8.167,7.951,20.42,21.08,1.157,1.104,0.4278,0.4006,6.131,5.766,31.9,0.023,0.0008,0.6,0.2
2026-06-01T04:00:00,8.232,8.079,20.03,21.05,1.144,1.084,0.4485,0.3848,6.839,6.052,39.9,0.029,0.0013,0.8,0.3
2026-06-01T05:00:00,8.096,7.847,20.03,20.99,1.138,1.079,0.3901,0.3886,7.354,6.047,47.8,0.040,0.0013,1.0,0.3
2026-06-01T06:00:00,8.942,8.686,19.77,20.75,1.155,1.104,0.4345,0.4022,7.107,6.124,56.5,0.048,0.0016,1.1,0.4
2026-06-01T07:00:00,8.639,8.430,21.60,22.53,1.165,1.108,0.3987,0.4076,6.663,6.167,64.9,0.052,0.0016,1.3,0.4
2026-06-01T08:00:00,8.952,8.760,21.37,21.82,1.156,1.104,0.4299,0.3983,6.977,6.176,73.7,0.059,0.0019,1.5,0.5
2026-06-01T09:00:00,8.747,8.440,21.07,21.78,1.176,1.111,0.4408,0.3821,6.195,6.162,82.1,0.060,0.0024,1.6,0.5
2026-06-01T10:00:00,9.490,9.387,22.38,22.52,1.187,1.123,0.4421,0.3972,7.001,6.092,91.5,0.068,0.0028,1.8,0.6
