timestamp,flow_in_m3h,flow_out_m3h,temp_in_c,temp_out_c,pressure_in_bar,pressure_out_bar,p_in_mgL,p_out_mgL,n_in_mgL,n_out_mgL,water_treated_m3_cum,n_removed_kg_cum,p_removed_kg_cum,electricity_kwh_cum,co2_kg_cum
2026-06-01T00:00:00,11.001,10.756,20.68,21.81,1.168,1.116,0.4334,0.4379,7.198,6.751,10.8,0.005,0.0000,0.2,0.1
2026-06-01T01:00:00,9.737,9.581,20.70,21.63,1.128,1.077,0.5004,0.4437,7.209,6.683,20.3,0.010,0.0005,0.4,0.1
2026-06-01T02:00:00,10.582,10.204,19.56,20.78,1.127,1.073,0.4878,0.4505,6.849,6.516,30.5,0.013,0.0009,0.6,0.2
2026-06-01T03:00:00,10.054,9.891,19.59,20.34,1.134,1.076,0.4895,0.4591,7.550,6.877,40.4,0.020,0.0012,0.8,0.3
2026-06-01T04:00:00,10.078,9.982,19.92,20.24,1.148,1.098,0.4804,0.4404,7.223,6.790,50.4,0.024,0.0016,1.0,0.3
2026-06-01T05:00:00,10.871,10.560,20.04,20.59,1.146,1.095,0.5331,0.4434,7.588,6.721,61.0,0.033,0.0026,1.2,0.4
2026-06-01T06:00:00,9.792,9.463,20.18,20.45,1.126,1.074,0.4881,0.4427,7.208,6.616,70.4,0.039,0.0030,1.4,0.5
2026-06-01T07:00:00,10.098,9.964,20.88,21.54,1.169,1.104,0.4495,0.4362,7.491,6.608,80.4,0.048,0.0031,1.6,0.5
2026-06-01T08:00:00,11.293,11.028,20.66,21.50,1.181,1.129,0.4638,0.4428,7.316,6.710,91.4,0.054,0.0034,1.8,0.6
2026-06-01T09:00:00,10.495,10.188,20.98,21.63,1.173,1.117,0.3869,0.4293,7.562,6.426,101.6,0.066,0.0034,2.0,0.7
2026-06-01T10:00:00,11.217,10.970,22.66,23.46,1.200,1.142,0.4331,0.4543,6.760,6.775,112.6,0.066,0.0034,2.3,0.7
2026-06-01T11:00:00,10.611,10.288,22.91,23.95,1.197,1.137,0.4525,0.4351,7.437,6.674,122.9,0.074,0.0035,2.5,0.8
2026-06-01T12:00:00,11.625,11.371,22.80,23.72,1.202,1.151,0.4986,0.4558,7.057,6.744,134.2,0.077,0.0040,2.7,0.9
2026-06-01T13:00:00,10.864,10.656,23.93,24.65,1.224,1.174,0.4530,0.4327,7.925,6.610,144.9,0.091,0.0042,2.9,1.0
2026-06-01T14:00:00,11.033,10.709,23.91,24.90,1.202,1.148,0.4774,0.4490,7.754,6.686,155.6,0.103,0.0045,3.1,1.0
2026-06-01T15:00:00,11.778,11.495,23.41,23.68,1.212,1.155,0.4882,0.4413,7.206,6.407,167.1,0.112,0.0051,3.3,1.1
2026-06-01T16:00:00,11.570,11.248,23.65,24.62,1.235,1.184,0.4743,0.4381,8.568,6.743,178.4,0.133,0.0055,3.6,1.2
2026-06-01T17:00:00,11.466,11.255,23.17,24.13,1.210,1.139,0.4281,0.4504,6.488,6.526,189.6,0.133,0.0055,3.8,1.3
2026-06-01T18:00:00,11.585,11.482,23.19,24.23,1.172,1.118,0.5029,0.4481,7.140,6.702,201.1,0.138,0.0061,4.0,1.3
2026-06-01T19:00:00,11.500,11.173,23.48,24.68,1.181,1.124,0.4753,0.4628,7.525,6.907,212.3,0.145,0.0063,4.2,1.4
2026-06-01T20:00:00,11.126,10.736,22.19,23.11,1.189,1.137,0.4179,0.4646,7.440,6.695,223.0,0.153,0.0063,4.5,1.5
2026-06-01T21:00:00,10.969,10.692,21.38,22.35,1.203,1.152,0.4841,0.4447,7.057,6.625,233.7,0.157,0.0067,4.7,1.5
2026-06-01T22:00:00,10.461,10.325,21.15,21.39,1.184,1.130,0.4477,0.4328,7.202,6.715,244.0,0.162,0.0068,4.9,1.6
2026-06-01T23:00:00,11.259,11.124,21.37,21.93,1.165,1.108,0.4850,0.4379,7.343,6.677,255.1,0.170,0.0074,5.1,1.7
2026-06-02T00:00:00,9.925,9.613,20.92,21.51,1.157,1.100,0.4757,0.4448,7.795,6.649,264.8,0.181,0.0077,5.3,1.7
2026-06-02T01:00:00,10.444,10.171,19.73,20.56,1.165,1.114,0.4585,0.4474,7.952,6.784,274.9,0.193,0.0078,5.5,1.8
2026-06-02T02:00:00,9.609,9.312,19.04,19.79,1.145,1.085,0.4702,0.4595,7.239,6.669,284.2,0.198,0.0079,5.7,1.9
2026-06-02T03:00:00,10.643,10.392,19.48,20.35,1.146,1.085,0.4319,0.4531,7.952,6.698,294.6,0.211,0.0079,5.9,1.9
2026-06-02T04:00:00,9.884,9.586,20.60,21.04,1.123,1.066,0.4198,0.4523,7.191,6.635,304.2,0.216,0.0079,6.1,2.0
2026-06-02T05:00:00,11.016,10.701,19.79,20.22,1.138,1.081,0.4744,0.4379,7.687,6.445,314.9,0.229,0.0083,6.3,2.1
2026-06-02T06:00:00,10.402,10.206,20.36,20.46,1.101,1.051,0.5006,0.4504,7.711,6.574,325.1,0.241,0.0088,6.5,2.1
2026-06-02T07:00:00,10.187,9.895,20.40,21.06,1.163,1.102,0.4532,0.4392,7.792,6.768,335.0,0.251,0.0089,6.7,2.2
2026-06-02T08:00:00,11.050,10.794,20.83,21.79,1.179,1.125,0.4501,0.4369,7.058,6.632,345.8,0.256,0.0091,6.9,2.3
2026-06-02T09:00:00,10.497,10.303,21.58,22.60,1.188,1.132,0.4127,0.4556,7.659,6.632,356.1,0.266,0.0091,7.1,2.4
2026-06-02T10:00:00,11.177,10.843,22.02,23.22,1.183,1.132,0.4929,0.4376,7.361,6.696,367.0,0.274,0.0097,7.3,2.4
2026-06-02T11:00:00,11.145,10.816,22.43,23.32,1.216,1.154,0.4558,0.4422,7.477,6.643,377.8,0.283,0.0098,7.6,2.5
