timestamp,flow_in_m3h,flow_out_m3h,temp_in_c,temp_out_c,pressure_in_bar,pressure_out_bar,p_in_mgL,p_out_mgL,n_in_mgL,n_out_mgL,water_treated_m3_cum,n_removed_kg_cum,p_removed_kg_cum,electricity_kwh_cum,co2_kg_cum
2026-06-01T00:00:00,12.534,12.213,19.71,20.63,1.122,1.062,0.5212,0.5382,8.476,7.265,12.2,0.015,0.0000,0.2,0.1
2026-06-01T01:00:00,13.024,12.695,20.81,22.00,1.135,1.082,0.5510,0.5213,8.563,7.107,24.9,0.033,0.0004,0.5,0.2
2026-06-01T02:00:00,12.536,12.173,19.47,19.87,1.159,1.109,0.5624,0.5164,8.229,7.633,37.1,0.041,0.0009,0.7,0.2
2026-06-01T03:00:00,12.700,12.462,20.10,20.53,1.144,1.084,0.5503,0.5266,8.371,7.414,49.5,0.052,0.0012,1.0,0.3
2026-06-01T04:00:00,12.310,12.042,19.48,20.19,1.136,1.075,0.5676,0.5074,8.635,7.412,61.6,0.067,0.0020,1.2,0.4
2026-06-01T05:00:00,11.922,11.766,20.43,21.17,1.165,1.115,0.5887,0.5179,7.996,7.389,73.4,0.074,0.0028,1.5,0.5
2026-06-01T06:00:00,12.101,11.866,20.17,20.85,1.154,1.095,0.5254,0.5320,8.462,7.361,85.2,0.087,0.0028,1.7,0.6
2026-06-01T07:00:00,13.082,12.895,20.82,22.02,1.177,1.120,0.4925,0.5188,8.134,7.682,98.1,0.093,0.0028,2.0,0.6
2026-06-01T08:00:00,13.412,13.193,21.71,22.41,1.204,1.154,0.5044,0.5131,8.134,7.124,111.3,0.107,0.0028,2.2,0.7
2026-06-01T09:00:00,13.455,12.973,22.49,23.66,1.200,1.142,0.5397,0.5175,8.500,7.246,124.3,0.123,0.0031,2.5,0.8
2026-06-01T10:00:00,12.806,12.393,21.59,22.70,1.199,1.143,0.5502,0.5360,8.131,7.447,136.7,0.131,0.0033,2.7,0.9
2026-06-01T11:00:00,13.565,13.297,22.57,23.65,1.176,1.124,0.5172,0.5237,7.816,7.355,150.0,0.137,0.0033,3.0,1.0
2026-06-01T12:00:00,13.577,13.344,23.60,24.70,1.200,1.148,0.4852,0.5048,8.027,7.646,163.3,0.143,0.0033,3.3,1.1
2026-06-01T13:00:00,13.577,13.127,23.28,23.93,1.219,1.167,0.5427,0.5465,7.822,7.085,176.4,0.152,0.0033,3.5,1.2
2026-06-01T14:00:00,14.311,14.163,23.61,24.79,1.213,1.149,0.5585,0.4906,8.034,7.320,190.6,0.162,0.0042,3.8,1.3
2026-06-01T15:00:00,14.378,14.102,23.82,24.84,1.222,1.152,0.5571,0.5098,8.142,7.536,204.7,0.171,0.0049,4.1,1.4
2026-06-01T16:00:00,14.105,13.734,23.98,24.19,1.231,1.175,0.4567,0.5160,7.968,7.495,218.4,0.177,0.0049,4.4,1.4
2026-06-01T17:00:00,14.401,14.025,23.44,24.35,1.211,1.156,0.5790,0.5397,8.314,7.500,232.5,0.189,0.0054,4.6,1.5
2026-06-01T18:00:00,13.293,13.012,23.13,23.81,1.208,1.156,0.5086,0.5129,7.296,7.235,245.5,0.190,0.0054,4.9,1.6
2026-06-01T19:00:00,13.945,13.789,22.11,22.61,1.169,1.112,0.5466,0.5171,9.188,7.275,259.3,0.216,0.0058,5.2,1.7
2026-06-01T20:00:00,14.349,14.040,22.45,23.60,1.203,1.145,0.5426,0.5271,8.129,7.590,273.3,0.223,0.0061,5.5,1.8
2026-06-01T21:00:00,12.657,12.404,21.88,22.94,1.184,1.128,0.5709,0.5301,8.738,7.367,285.7,0.241,0.0066,5.7,1.9
2026-06-01T22:00:00,13.959,13.337,21.40,22.22,1.185,1.119,0.5602,0.4977,7.826,7.276,299.0,0.248,0.0074,6.0,2.0
2026-06-01T23:00:00,13.637,13.397,20.15,21.14,1.165,1.100,0.5504,0.5282,7.967,7.376,312.4,0.256,0.0077,6.2,2.1
2026-06-02T00:00:00,13.632,13.113,20.20,20.91,1.159,1.106,0.4906,0.5188,8.664,7.626,325.6,0.269,0.0077,6.5,2.1
2026-06-02T01:00:00,12.493,12.155,20.24,21.15,1.134,1.078,0.5807,0.5324,9.077,7.285,337.7,0.291,0.0083,6.8,2.2
2026-06-02T02:00:00,12.192,11.927,19.77,21.09,1.141,1.089,0.6153,0.5111,8.071,7.374,349.6,0.299,0.0095,7.0,2.3
2026-06-02T03:00:00,12.010,11.742,19.97,20.50,1.132,1.079,0.4354,0.5093,8.758,7.417,361.4,0.315,0.0095,7.2,2.4
2026-06-02T04:00:00,11.892,11.550,19.46,20.30,1.166,1.115,0.6374,0.5207,8.605,7.454,372.9,0.329,0.0109,7.5,2.5
2026-06-02T05:00:00,12.374,12.124,19.56,20.14,1.167,1.114,0.4998,0.5107,7.787,7.317,385.1,0.334,0.0109,7.7,2.5
