timestamp,flow_in_m3h,flow_out_m3h,temp_in_c,temp_out_c,pressure_in_bar,pressure_out_bar,p_in_mgL,p_out_mgL,n_in_mgL,n_out_mgL,water_treated_m3_cum,n_removed_kg_cum,p_removed_kg_cum,electricity_kwh_cum,co2_kg_cum
2026-06-01T00:00:00,8.821,8.621,20.33,21.32,1.136,1.078,0.3792,0.3698,6.189,5.763,8.6,0.004,0.0001,0.2,0.1
2026-06-01T01:00:00,8.936,8.656,20.24,21.08,1.143,1.079,0.3427,0.3535,5.591,5.734,17.3,0.004,0.0001,0.3,0.1
2026-06-01T02:00:00,8.395,8.205,19.65,20.92,1.107,1.052,0.3880,0.3667,6.186,5.604,25.5,0.008,0.0003,0.5,0.2
2026-06-01T03:00:00,8.387,8.263,20.23,21.03,1.179,1.123,0.3669,0.3531,5.878,5.639,33.7,0.010,0.0004,0.7,0.2
2026-06-01T04:00:00,7.994,7.828,19.77,20.46,1.124,1.047,0.3697,0.3693,6.319,5.519,41.6,0.017,0.0004,0.8,0.3
2026-06-01T05:00:00,8.853,8.610,20.59,21.33,1.159,1.104,0.4217,0.3560,6.453,5.760,50.2,0.023,0.0009,1.0,0.3
2026-06-01T06:00:00,8.228,8.097,20.99,21.56,1.163,1.110,0.3582,0.3726,6.725,5.702,58.3,0.031,0.0009,1.2,0.4
2026-06-01T07:00:00,8.202,7.964,21.98,22.65,1.150,1.087,0.3967,0.3768,6.005,5.414,66.2,0.036,0.0011,1.3,0.4
2026-06-01T08:00:00,8.782,8.518,21.24,22.06,1.177,1.125,0.3771,0.3618,5.889,5.715,74.8,0.037,0.0012,1.5,0.5
2026-06-01T09:00:00,8.614,8.266,22.17,22.71,1.188,1.135,0.3754,0.3627,6.170,5.396,83.0,0.044,0.0013,1.7,0.5
2026-06-01T10:00:00,9.652,9.363,22.64,23.36,1.183,1.131,0.3955,0.3538,6.431,5.742,92.4,0.050,0.0017,1.8,0.6
2026-06-01T11:00:00,9.010,8.793,23.04,24.21,1.224,1.172,0.3928,0.3635,6.505,5.682,101.2,0.057,0.0020,2.0,0.7
2026-06-01T12:00:00,9.279,9.116,23.23,24.08,1.220,1.161,0.3659,0.3673,6.316,5.510,110.3,0.065,0.0020,2.2,0.7
2026-06-01T13:00:00,9.807,9.596,23.49,24.33,1.218,1.167,0.3686,0.3748,5.563,5.583,119.9,0.065,0.0020,2.4,0.8
2026-06-01T14:00:00,9.846,9.505,23.54,24.24,1.209,1.158,0.3800,0.3734,5.995,5.654,129.4,0.068,0.0020,2.6,0.9
2026-06-01T15:00:00,9.319,9.046,24.37,25.03,1.224,1.156,0.3634,0.3589,6.222,5.441,138.4,0.075,0.0021,2.8,0.9
2026-06-01T16:00:00,9.581,9.312,24.63,25.20,1.203,1.152,0.4092,0.3544,6.472,5.568,147.8,0.083,0.0026,3.0,1.0
2026-06-01T17:00:00,9.396,9.325,23.20,23.76,1.227,1.167,0.3841,0.3717,6.309,5.569,157.1,0.090,0.0027,3.1,1.0
2026-06-01T18:00:00,10.409,10.175,23.32,24.00,1.204,1.153,0.3779,0.3616,6.066,5.580,167.3,0.095,0.0029,3.3,1.1
2026-06-01T19:00:00,9.464,9.199,23.29,23.94,1.186,1.135,0.3858,0.3589,6.094,5.583,176.5,0.100,0.0031,3.5,1.2
2026-06-01T20:00:00,9.030,8.892,22.32,23.02,1.188,1.126,0.3559,0.3655,6.331,5.565,185.3,0.107,0.0031,3.7,1.2
2026-06-01T21:00:00,8.964,8.819,21.76,22.88,1.203,1.151,0.3609,0.3687,6.067,5.645,194.2,0.110,0.0031,3.9,1.3
2026-06-01T22:00:00,8.949,8.795,21.90,22.57,1.180,1.123,0.3608,0.3582,6.201,5.514,203.0,0.116,0.0031,4.1,1.3
2026-06-01T23:00:00,8.778,8.715,20.91,21.79,1.204,1.139,0.3734,0.3579,6.467,5.540,211.7,0.124,0.0033,4.2,1.4
2026-06-02T00:00:00,8.633,8.468,20.46,21.33,1.157,1.097,0.3508,0.3704,6.448,5.683,220.1,0.131,0.0033,4.4,1.5
2026-06-02T01:00:00,8.371,8.264,20.38,21.28,1.138,1.080,0.3984,0.3553,6.488,5.578,228.4,0.138,0.0036,4.6,1.5
2026-06-02T02:00:00,8.376,8.209,19.49,20.03,1.146,1.086,0.3597,0.3711,6.599,5.327,236.6,0.149,0.0036,4.7,1.6
2026-06-02T03:00:00,8.770,8.532,20.14,21.32,1.152,1.099,0.3986,0.3605,6.491,5.472,245.2,0.158,0.0040,4.9,1.6
2026-06-02T04:00:00,8.353,8.134,19.70,20.46,1.143,1.092,0.3632,0.3602,6.122,5.512,253.3,0.163,0.0040,5.1,1.7
2026-06-02T05:00:00,7.848,7.648,19.20,19.88,1.116,1.063,0.3849,0.3664,6.202,5.711,260.9,0.166,0.0041,5.2,1.7
2026-06-02T06:00:00,8.877,8.625,19.83,20.80,1.160,1.109,0.4179,0.3640,6.712,5.428,269.6,0.177,0.0046,5.4,1.8
2026-06-02T07:00:00,8.332,8.036,19.94,21.05,1.179,1.120,0.3773,0.3635,5.935,5.344,277.6,0.182,0.0047,5.6,1.8
2026-06-02T08:00:00,8.711,8.507,21.45,22.12,1.165,1.108,0.3855,0.3492,6.006,5.640,286.1,0.185,0.0050,5.7,1.9
2026-06-02T09:00:00,8.971,8.833,21.79,22.64,1.210,1.155,0.3928,0.3601,6.762,5.568,294.9,0.196,0.0053,5.9,1.9
2026-06-02T10:00:00,9.102,8.828,22.04,23.22,1.207,1.149,0.3679,0.3685,6.150,5.719,303.8,0.200,0.0053,6.1,2.0
2026-06-02T11:00:00,9.302,8.994,22.85,23.39,1.206,1.152,0.4296,0.3486,6.525,5.700,312.8,0.207,0.0060,6.3,2.1
2026-06-02T12:00:00,9.416,9.240,23.67,24.14,1.220,1.165,0.3911,0.3674,6.354,5.670,322.0,0.213,0.0063,6.4,2.1
2026-06-02T13:00:00,9.873,9.618,23.41,24.32,1.218,1.165,0.3807,0.3580,6.009,5.698,331.6,0.216,0.0065,6.6,2.2
2026-06-02T14:00:00,9.060,8.937,23.52,24.20,1.221,1.169,0.4035,0.3660,5.913,5.467,340.6,0.220,0.0068,6.8,2.2
2026-06-02T15:00:00,9.540,9.193,23.67,24.30,1.225,1.169,0.4063,0.3688,6.332,5.570,349.7,0.227,0.0072,7.0,2.3
2026-06-02T16:00:00,9.589,9.300,23.62,23.92,1.220,1.168,0.4147,0.3665,6.582,5.745,359.0,0.235,0.0076,7.2,2.4
2026-06-02T17:00:00,9.764,9.541,24.26,25.01,1.231,1.178,0.3996,0.3659,6.233,5.613,368.6,0.241,0.0079,7.4,2.4
2026-06-02T18:00:00,9.528,9.377,23.40,24.07,1.204,1.146,0.3546,0.3652,6.568,5.610,378.0,0.250,0.0079,7.6,2.5
2026-06-02T19:00:00,9.212,8.929,22.72,23.51,1.185,1.120,0.3783,0.3570,6.323,5.613,386.9,0.256,0.0081,7.7,2.6
2026-06-02T20:00:00,9.173,8.990,22.19,23.13,1.182,1.129,0.4123,0.3636,5.929,5.595,395.9,0.259,0.0085,7.9,2.6
2026-06-02T21:00:00,8.889,8.689,21.05,22.14,1.198,1.137,0.3855,0.3537,6.602,5.651,404.6,0.268,0.0088,8.1,2.7
2026-06-02T22:00:00,8.690,8.477,21.56,22.18,1.161,1.104,0.3783,0.3502,6.610,5.556,413.1,0.277,0.0091,8.3,2.7
2026-06-02T23:00:00,8.381,8.227,20.70,21.27,1.147,1.092,0.4181,0.3554,6.808,5.542,421.3,0.287,0.0096,8.4,2.8
2026-06-03T00:00:00,8.980,8.868,20.61,21.15,1.152,1.085,0.3492,0.3615,6.095,5.400,430.1,0.293,0.0096,8.6,2.8
2026-06-03T01:00:00,8.846,8.605,19.81,20.76,1.137,1.076,0.3676,0.3618,6.183,5.566,438.8,0.298,0.0096,8.8,2.9
2026-06-03T02:00:00,8.492,8.340,19.69,20.19,1.172,1.118,0.3748,0.3539,6.606,5.634,447.1,0.307,0.0098,8.9,3.0
2026-06-03T03:00:00,8.363,8.247,19.83,20.83,1.114,1.054,0.4195,0.3675,6.384,5.667,455.3,0.312,0.0102,9.1,3.0
2026-06-03T04:00:00,8.192,8.061,20.06,20.66,1.141,1.086,0.3678,0.3661,6.347,5.552,463.4,0.319,0.0102,9.3,3.1
2026-06-03T05:00:00,8.771,8.669,19.81,20.81,1.138,1.083,0.3733,0.3562,6.723,5.578,472.1,0.329,0.0104,9.4,3.1
2026-06-03T06:00:00,8.211,7.982,20.68,21.57,1.138,1.082,0.3469,0.3690,6.183,5.494,480.0,0.334,0.0104,9.6,3.2
2026-06-03T07:00:00,8.837,8.543,20.99,21.60,1.144,1.088,0.3172,0.3612,6.071,5.635,488.6,0.338,0.0104,9.8,3.2
2026-06-03T08:00:00,8.646,8.461,21.72,22.10,1.168,1.111,0.3751,0.3667,6.628,5.687,497.1,0.346,0.0105,9.9,3.3
2026-06-03T09:00:00,9.124,8.773,21.69,22.59,1.186,1.129,0.3437,0.3541,6.787,5.422,505.8,0.358,0.0105,10.1,3.3
2026-06-03T10:00:00,9.470,9.367,21.94,22.69,1.199,1.147,0.3938,0.3777,6.347,5.848,515.2,0.363,0.0106,10.3,3.4
2026-06-03T11:00:00,8.860,8.600,23.08,23.87,1.209,1.144,0.3726,0.3570,6.563,5.583,523.8,0.371,0.0108,10.5,3.5
2026-06-03T12:00:00,9.604,9.419,22.98,23.78,1.179,1.119,0.4158,0.3548,5.984,5.638,533.2,0.374,0.0113,10.7,3.5
2026-06-03T13:00:00,10.093,9.747,23.70,24.09,1.243,1.191,0.3645,0.3582,6.423,5.357,543.0,0.385,0.0114,10.9,3.6
2026-06-03T14:00:00,9.686,9.453,23.23,23.97,1.228,1.176,0.3952,0.3472,6.253,5.633,552.4,0.391,0.0118,11.0,3.6
2026-06-03T15:00:00,8.978,8.729,24.05,25.26,1.225,1.171,0.3692,0.3618,6.032,5.540,561.1,0.395,0.0119,11.2,3.7
2026-06-03T16:00:00,9.446,9.202,23.12,23.86,1.204,1.145,0.4012,0.3656,6.559,5.483,570.3,0.405,0.0122,11.4,3.8
2026-06-03T17:00:00,9.759,9.494,23.49,24.15,1.217,1.161,0.4118,0.3485,6.291,5.794,579.8,0.409,0.0128,11.6,3.8
2026-06-03T18:00:00,9.095,8.924,23.10,23.71,1.239,1.189,0.3797,0.3570,6.236,5.597,588.8,0.415,0.0130,11.8,3.9
2026-06-03T19:00:00,9.231,8.801,22.51,23.21,1.207,1.155,0.3784,0.3582,6.737,5.520,597.6,0.426,0.0132,12.0,3.9
2026-06-03T20:00:00,9.776,9.414,22.08,22.79,1.215,1.161,0.3763,0.3652,6.283,5.618,607.0,0.432,0.0133,12.1,4.0
2026-06-03T21:00:00,8.602,8.304,21.27,22.00,1.172,1.111,0.3666,0.3557,6.672,5.461,615.3,0.442,0.0134,12.3,4.1
2026-06-03T22:00:00,9.147,8.956,21.49,22.25,1.162,1.102,0.3954,0.3499,6.193,5.732,624.2,0.446,0.0138,12.5,4.1
2026-06-03T23:00:00,9.015,8.887,20.65,21.34,1.159,1.101,0.4003,0.3572,6.324,5.565,633.1,0.453,0.0142,12.7,4.2
2026-06-04T00:00:00,8.884,8.639,21.33,22.28,1.165,1.114,0.3759,0.3617,6.073,5.742,641.8,0.456,0.0143,12.8,4.2
2026-06-04T01:00:00,8.918,8.653,20.01,21.03,1.158,1.101,0.3730,0.3539,5.725,5.669,650.4,0.456,0.0145,13.0,4.3
2026-06-04T02:00:00,8.041,7.883,19.70,20.84,1.138,1.084,0.3584,0.3704,6.064,5.665,658.3,0.460,0.0145,13.2,4.3
2026-06-04T03:00:00,8.262,8.080,19.14,20.09,1.146,1.094,0.3215,0.3604,6.303,5.315,666.4,0.468,0.0145,13.3,4.4
2026-06-04T04:00:00,8.591,8.353,19.76,20.47,1.166,1.115,0.3449,0.3549,7.259,5.594,674.7,0.481,0.0145,13.5,4.5
2026-06-04T05:00:00,7.784,7.705,20.19,21.12,1.140,1.086,0.3688,0.3627,6.427,5.463,682.4,0.489,0.0145,13.6,4.5
2026-06-04T06:00:00,8.508,8.413,19.95,21.28,1.140,1.082,0.3872,0.3676,6.158,5.517,690.9,0.494,0.0147,13.8,4.6
2026-06-04T07:00:00,8.284,8.102,20.68,21.39,1.153,1.101,0.3975,0.3690,6.176,5.585,699.0,0.499,0.0149,14.0,4.6
2026-06-04T08:00:00,9.016,8.867,20.75,21.62,1.169,1.116,0.3895,0.3610,6.182,5.693,707.8,0.503,0.0152,14.2,4.7
2026-06-04T09:00:00,8.726,8.450,21.74,22.59,1.187,1.124,0.3758,0.3624,6.738,5.777,716.3,0.512,0.0153,14.3,4.7
2026-06-04T10:00:00,9.045,8.930,22.51,23.21,1.200,1.149,0.3563,0.3647,5.930,5.538,725.2,0.515,0.0153,14.5,4.8
2026-06-04T11:00:00,9.728,9.504,23.07,23.50,1.180,1.126,0.3811,0.3488,6.290,5.536,734.7,0.522,0.0156,14.7,4.8
2026-06-04T12:00:00,9.358,9.127,22.65,23.47,1.201,1.139,0.4196,0.3698,6.089,5.371,743.8,0.529,0.0161,14.9,4.9
2026-06-04T13:00:00,9.514,9.234,22.96,23.99,1.201,1.150,0.4015,0.3450,6.207,5.454,753.1,0.536,0.0166,15.1,5.0
2026-06-04T14:00:00,10.090,9.841,23.42,24.78,1.225,1.166,0.3995,0.3535,6.439,5.575,762.9,0.544,0.0170,15.3,5.0
2026-06-04T15:00:00,9.281,8.999,23.40,24.19,1.196,1.145,0.3957,0.3514,6.521,5.605,771.9,0.552,0.0174,15.4,5.1
2026-06-04T16:00:00,9.693,9.374,24.34,24.97,1.244,1.186,0.3572,0.3649,6.359,5.530,781.3,0.560,0.0174,15.6,5.2
2026-06-04T17:00:00,9.488,9.200,23.51,24.40,1.192,1.140,0.4174,0.3745,5.988,5.637,790.5,0.563,0.0178,15.8,5.2
2026-06-04T18:00:00,9.242,8.987,22.56,23.26,1.214,1.150,0.4244,0.3677,6.408,5.700,799.5,0.570,0.0183,16.0,5.3
2026-06-04T19:00:00,9.725,9.407,22.68,23.54,1.211,1.153,0.4001,0.3539,6.020,5.660,808.9,0.573,0.0188,16.2,5.3
2026-06-04T20:00:00,9.395,9.288,21.77,22.64,1.216,1.165,0.3738,0.3538,6.064,5.546,818.2,0.578,0.0190,16.4,5.4
2026-06-04T21:00:00,9.376,9.052,20.91,21.74,1.189,1.136,0.4083,0.3623,6.462,5.328,827.2,0.588,0.0194,16.5,5.5
2026-06-04T22:00:00,9.092,8.830,20.37,21.09,1.145,1.085,0.3766,0.3560,6.633,5.729,836.0,0.596,0.0196,16.7,5.5
2026-06-04T23:00:00,8.594,8.343,20.81,21.70,1.165,1.110,0.4157,0.3525,6.145,5.763,844.4,0.599,0.0201,16.9,5.6
2026-06-05T00:00:00,8.387,8.138,19.83,20.24,1.143,1.086,0.3829,0.3498,6.329,5.438,852.5,0.607,0.0203,17.1,5.6
2026-06-05T01:00:00,8.549,8.473,19.22,20.12,1.171,1.118,0.3608,0.3519,6.719,5.702,861.0,0.615,0.0204,17.2,5.7
2026-06-05T02:00:00,8.271,8.071,20.50,21.32,1.128,1.058,0.3839,0.3575,6.104,5.864,869.1,0.617,0.0206,17.4,5.7
2026-06-05T03:00:00,8.401,8.171,19.72,20.55,1.153,1.094,0.3366,0.3599,5.894,5.372,877.2,0.622,0.0206,17.5,5.8
2026-06-05T04:00:00,8.303,8.105,19.59,20.41,1.172,1.121,0.4129,0.3678,6.269,5.425,885.3,0.628,0.0210,17.7,5.8
2026-06-05T05:00:00,8.128,7.889,20.16,21.37,1.137,1.073,0.4392,0.3625,6.829,5.609,893.2,0.638,0.0216,17.9,5.9
2026-06-05T06:00:00,8.178,7.943,19.46,20.26,1.161,1.106,0.3768,0.3723,5.841,5.626,901.2,0.640,0.0216,18.0,5.9
2026-06-05T07:00:00,8.451,8.336,20.40,21.53,1.168,1.118,0.4204,0.3605,6.325,5.326,909.5,0.648,0.0221,18.2,6.0
2026-06-05T08:00:00,8.921,8.744,21.39,22.60,1.174,1.121,0.4142,0.3487,6.488,5.632,918.3,0.655,0.0227,18.4,6.1
2026-06-05T09:00:00,9.352,9.107,21.84,21.84,1.148,1.096,0.3912,0.3565,6.148,5.284,927.4,0.663,0.0230,18.5,6.1
2026-06-05T10:00:00,9.252,9.006,21.84,22.79,1.201,1.145,0.3743,0.3650,6.550,5.704,936.4,0.671,0.0231,18.7,6.2
2026-06-05T11:00:00,9.188,8.827,22.97,23.77,1.187,1.131,0.3968,0.3602,6.245,5.545,945.2,0.677,0.0234,18.9,6.2
2026-06-05T12:00:00,9.910,9.687,22.62,23.43,1.208,1.141,0.3775,0.3797,6.335,5.476,954.9,0.685,0.0234,19.1,6.3
2026-06-05T13:00:00,9.628,9.415,22.83,24.07,1.212,1.154,0.3652,0.3458,6.159,5.657,964.3,0.690,0.0236,19.3,6.4
2026-06-05T14:00:00,9.472,9.264,23.22,23.91,1.214,1.161,0.3787,0.3635,6.427,5.559,973.6,0.698,0.0238,19.5,6.4
2026-06-05T15:00:00,9.887,9.528,23.86,25.09,1.247,1.193,0.4008,0.3614,6.931,5.702,983.1,0.710,0.0241,19.7,6.5
2026-06-05T16:00:00,9.545,9.282,23.74,24.54,1.212,1.160,0.3750,0.3548,6.339,5.710,992.4,0.716,0.0243,19.8,6.5
2026-06-05T17:00:00,9.325,9.065,23.66,24.68,1.212,1.157,0.3649,0.3727,6.528,5.635,1001.4,0.724,0.0243,20.0,6.6
2026-06-05T18:00:00,9.014,8.780,23.26,23.85,1.200,1.148,0.3533,0.3721,6.153,5.678,1010.2,0.728,0.0243,20.2,6.7
2026-06-05T19:00:00,9.031,8.919,22.73,23.31,1.196,1.143,0.3560,0.3532,6.617,5.501,1019.1,0.738,0.0243,20.4,6.7
2026-06-05T20:00:00,9.493,9.320,21.98,23.28,1.189,1.138,0.4037,0.3550,6.482,5.510,1028.5,0.747,0.0248,20.6,6.8
