timestamp,flow_in_m3h,flow_out_m3h,temp_in_c,temp_out_c,pressure_in_bar,pressure_out_bar,p_in_mgL,p_out_mgL,n_in_mgL,n_out_mgL,water_treated_m3_cum,n_removed_kg_cum,p_removed_kg_cum,electricity_kwh_cum,co2_kg_cum
2026-06-01T00:00:00,16.413,16.142,20.82,21.74,1.147,1.092,0.5997,0.5845,9.809,9.088,16.1,0.012,0.0002,0.3,0.1
2026-06-01T01:00:00,16.862,16.391,19.43,20.27,1.156,1.101,0.6733,0.5864,9.624,9.270,32.5,0.017,0.0017,0.7,0.2
2026-06-01T02:00:00,17.246,16.991,20.28,21.34,1.158,1.103,0.5717,0.5795,9.874,9.208,49.5,0.029,0.0017,1.0,0.3
2026-06-01T03:00:00,17.147,16.783,20.08,21.06,1.142,1.090,0.5678,0.6039,10.484,9.233,66.3,0.050,0.0017,1.3,0.4
2026-06-01T04:00:00,17.318,17.013,19.55,20.34,1.127,1.066,0.6141,0.5983,11.530,9.012,83.3,0.093,0.0019,1.7,0.5
2026-06-01T05:00:00,16.711,16.205,20.62,21.51,1.136,1.084,0.6319,0.5691,10.524,8.937,99.5,0.118,0.0030,2.0,0.7
2026-06-01T06:00:00,17.973,17.620,20.57,21.72,1.162,1.102,0.6397,0.5604,9.946,8.935,117.1,0.136,0.0044,2.3,0.8
2026-06-01T07:00:00,17.403,16.930,20.65,21.67,1.160,1.108,0.5958,0.5809,10.188,9.206,134.1,0.153,0.0046,2.7,0.9
2026-06-01T08:00:00,18.469,17.962,21.91,22.74,1.160,1.103,0.5840,0.5801,10.176,8.899,152.0,0.176,0.0047,3.0,1.0
2026-06-01T09:00:00,18.643,18.105,21.37,21.86,1.198,1.147,0.5904,0.5788,10.451,9.292,170.1,0.197,0.0049,3.4,1.1
2026-06-01T10:00:00,18.858,18.175,22.20,22.64,1.190,1.134,0.6414,0.6063,10.420,9.414,188.3,0.215,0.0055,3.8,1.2
2026-06-01T11:00:00,18.725,18.201,23.03,23.80,1.192,1.135,0.5138,0.5678,10.221,9.236,206.5,0.233,0.0055,4.1,1.4
2026-06-01T12:00:00,18.708,18.327,23.87,24.88,1.222,1.170,0.6126,0.5856,11.024,9.490,224.8,0.261,0.0060,4.5,1.5
2026-06-01T13:00:00,19.876,19.318,24.05,24.85,1.232,1.178,0.5471,0.5746,10.206,8.932,244.2,0.286,0.0060,4.9,1.6
2026-06-01T14:00:00,18.073,17.574,24.09,24.95,1.211,1.144,0.5716,0.5810,10.565,8.772,261.7,0.317,0.0060,5.2,1.7
2026-06-01T15:00:00,19.640,19.237,24.57,25.08,1.245,1.192,0.6217,0.5670,9.813,9.027,281.0,0.332,0.0071,5.6,1.9
2026-06-01T16:00:00,19.146,18.828,23.46,24.15,1.207,1.156,0.6072,0.5818,10.696,8.876,299.8,0.366,0.0075,6.0,2.0
2026-06-01T17:00:00,18.612,18.043,23.26,24.10,1.229,1.170,0.5907,0.5824,9.628,9.122,317.8,0.376,0.0077,6.4,2.1
2026-06-01T18:00:00,17.592,17.266,22.72,23.86,1.193,1.141,0.5058,0.5715,10.272,9.228,335.1,0.394,0.0077,6.7,2.2
2026-06-01T19:00:00,18.725,18.343,22.51,23.56,1.210,1.157,0.6335,0.5715,10.558,9.137,353.5,0.420,0.0088,7.1,2.3
2026-06-01T20:00:00,17.962,17.603,23.05,24.02,1.213,1.162,0.6364,0.5710,10.627,9.215,371.1,0.445,0.0100,7.4,2.4
2026-06-01T21:00:00,17.867,17.216,21.89,22.66,1.158,1.106,0.5880,0.5691,10.227,9.562,388.3,0.456,0.0103,7.8,2.6
2026-06-01T22:00:00,18.550,18.097,21.24,21.90,1.158,1.104,0.6259,0.5728,9.475,9.002,406.4,0.465,0.0113,8.1,2.7
2026-06-01T23:00:00,15.800,15.219,20.65,21.24,1.152,1.099,0.5302,0.6090,9.810,8.939,421.6,0.478,0.0113,8.4,2.8
2026-06-02T00:00:00,17.112,16.506,20.17,21.25,1.155,1.100,0.5545,0.5721,9.718,9.314,438.1,0.484,0.0113,8.8,2.9
2026-06-02T01:00:00,17.122,16.734,20.46,21.52,1.155,1.096,0.6678,0.5976,10.051,9.359,454.8,0.496,0.0124,9.1,3.0
2026-06-02T02:00:00,17.445,16.870,19.95,20.76,1.143,1.092,0.6239,0.5710,10.016,8.914,471.7,0.515,0.0133,9.4,3.1
2026-06-02T03:00:00,15.751,15.496,19.72,20.86,1.161,1.105,0.5821,0.5873,10.072,9.191,487.2,0.528,0.0133,9.7,3.2
2026-06-02T04:00:00,17.234,16.936,19.68,20.46,1.122,1.067,0.5756,0.5797,11.131,8.794,504.1,0.568,0.0133,10.1,3.3
2026-06-02T05:00:00,17.208,16.726,20.24,20.99,1.150,1.094,0.5665,0.5821,9.964,8.934,520.9,0.585,0.0133,10.4,3.4
2026-06-02T06:00:00,16.313,16.001,20.86,21.91,1.138,1.085,0.6182,0.5779,9.882,8.953,536.9,0.600,0.0140,10.7,3.5
2026-06-02T07:00:00,16.893,16.474,20.54,20.96,1.188,1.137,0.6352,0.5793,9.933,9.409,553.3,0.609,0.0149,11.1,3.7
2026-06-02T08:00:00,17.264,16.840,21.57,22.38,1.177,1.125,0.5845,0.5777,10.387,8.761,570.2,0.636,0.0150,11.4,3.8
2026-06-02T09:00:00,17.520,17.431,22.10,22.77,1.203,1.149,0.5991,0.5663,10.182,9.174,587.6,0.654,0.0156,11.8,3.9
2026-06-02T10:00:00,19.273,19.024,22.74,23.89,1.191,1.136,0.6850,0.5809,10.302,9.254,606.6,0.674,0.0176,12.1,4.0
2026-06-02T11:00:00,18.219,17.787,22.63,23.43,1.190,1.140,0.5929,0.5957,10.970,9.088,624.4,0.707,0.0176,12.5,4.1
2026-06-02T12:00:00,19.170,18.793,23.91,24.75,1.203,1.145,0.6146,0.5738,9.275,9.618,643.2,0.707,0.0183,12.9,4.2
2026-06-02T13:00:00,18.149,17.765,23.74,24.82,1.235,1.168,0.6044,0.5875,10.323,9.048,661.0,0.730,0.0186,13.2,4.4
2026-06-02T14:00:00,19.532,18.965,23.63,24.18,1.209,1.153,0.5349,0.5792,10.947,9.322,679.9,0.760,0.0186,13.6,4.5
2026-06-02T15:00:00,19.561,19.014,23.53,24.07,1.233,1.181,0.5895,0.5894,10.333,9.443,699.0,0.777,0.0186,14.0,4.6
2026-06-02T16:00:00,19.869,19.229,23.88,24.77,1.199,1.148,0.5756,0.5981,9.720,9.182,718.2,0.788,0.0186,14.4,4.7
2026-06-02T17:00:00,18.933,18.324,23.52,24.40,1.221,1.164,0.5942,0.5664,9.502,8.843,736.5,0.800,0.0192,14.7,4.9
2026-06-02T18:00:00,19.030,18.675,23.63,24.32,1.215,1.152,0.6468,0.5677,9.874,8.686,755.2,0.822,0.0206,15.1,5.0
2026-06-02T19:00:00,18.591,18.089,22.81,23.69,1.231,1.173,0.6374,0.5560,9.239,9.029,773.3,0.826,0.0221,15.5,5.1
2026-06-02T20:00:00,18.833,18.158,22.94,23.89,1.199,1.137,0.5989,0.5724,9.223,9.015,791.4,0.830,0.0226,15.8,5.2
2026-06-02T21:00:00,18.263,17.828,21.34,22.63,1.155,1.101,0.6582,0.5773,9.904,8.832,809.3,0.849,0.0240,16.2,5.3
2026-06-02T22:00:00,17.657,17.080,21.09,22.04,1.179,1.114,0.6652,0.5705,10.455,9.097,826.3,0.872,0.0256,16.5,5.5
2026-06-02T23:00:00,17.800,17.397,19.59,20.44,1.166,1.096,0.6220,0.5700,9.489,9.184,843.7,0.877,0.0265,16.9,5.6
2026-06-03T00:00:00,17.053,16.753,19.69,20.23,1.147,1.092,0.5793,0.5681,10.562,9.104,860.5,0.902,0.0267,17.2,5.7
